Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Referee
2024-03-02,West Ham,Newcastle,2,0,H,C Kavanagh
2024-03-02,Wolves,Cardiff,2,0,H,A Marriner
2024-03-03,Everton,Liverpool,0,0,D,M Atkinson
2024-03-03,Fulham,Chelsea,1,2,A,G Scott
2024-03-03,Watford,Leicester,2,1,H,J Moss
2024-03-09,Cardiff,West Ham,2,0,H,G Scott
2024-03-09,Crystal Palace,Brighton,1,2,A,C Pawson
2024-03-09,Huddersfield,Bournemouth,0,2,A,A Taylor
2024-03-09,Leicester,Fulham,3,1,H,D Coote
2024-03-09,Man City,Watford,3,1,H,P Tierney
2024-03-09,Newcastle,Everton,3,2,H,L Mason
2024-03-09,Southampton,Tottenham,2,1,H,K Friend
2024-03-10,Arsenal,Man United,2,0,H,J Moss
2024-03-10,Chelsea,Wolves,1,1,D,M Oliver
2024-03-10,Liverpool,Burnley,4,2,H,A Marriner
2024-03-16,Bournemouth,Newcastle,2,2,D,M Dean
2024-03-16,Burnley,Leicester,1,2,A,M Oliver
2024-03-16,West Ham,Huddersfield,4,3,H,J Moss
2024-03-17,Everton,Chelsea,2,0,H,A Taylor
2024-03-17,Fulham,Liverpool,1,2,A,C Pawson
2024-03-30,Brighton,Southampton,0,1,A,M Oliver
2024-03-30,Burnley,Wolves,2,0,H,C Kavanagh
2024-03-30,Crystal Palace,Huddersfield,2,0,H,L Probert
2024-03-30,Fulham,Man City,0,2,A,K Friend
2024-03-30,Leicester,Bournemouth,2,0,H,L Mason
2024-03-30,Man United,Watford,2,1,H,S Attwell
2024-03-30,West Ham,Everton,0,2,A,P Tierney
2024-03-31,Cardiff,Chelsea,1,2,A,C Pawson
2024-03-31,Liverpool,Tottenham,2,1,H,M Atkinson
2024-04-01,Arsenal,Newcastle,2,0,H,A Taylor
2024-04-02,Watford,Fulham,4,1,H,R East
2024-04-02,Wolves,Man United,2,1,H,M Dean
2024-04-03,Chelsea,Brighton,3,0,H,G Scott
2024-04-03,Man City,Cardiff,2,0,H,J Moss
2024-04-03,Tottenham,Crystal Palace,2,0,H,A Marriner
2024-04-05,Southampton,Liverpool,1,3,A,P Tierney
2024-04-06,Bournemouth,Burnley,1,3,A,M Atkinson
2024-04-06,Huddersfield,Leicester,1,4,A,D Coote
2024-04-06,Newcastle,Crystal Palace,0,1,A,S Attwell
2024-04-07,Everton,Arsenal,1,0,H,K Friend
